Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
40,2026-07-12 02:05:54,gpt-5.4-mini,2740,0.002055,70,0.00031499999999999996,2810,0.0023699999999999997
41,2026-07-12 02:05:55,gpt-5.4-mini,2759,0.00206925,74,0.00033299999999999996,2833,0.00240225
42,2026-07-12 02:05:58,gpt-5.4-mini,2746,0.0020595,68,0.000306,2814,0.0023655
43,2026-07-12 02:06:22,gpt-5.6-luna,53162,0.053162,3320,0.01992,56482,0.07308200000000001
44,2026-07-12 02:09:26,gpt-5.4-mini,8322,0.0062415,230,0.0010350000000000001,8552,0.0072765
45,2026-07-12 02:09:27,gpt-5.4-mini,2898,0.0021735,45,0.00020250000000000002,2943,0.002376
46,2026-07-12 02:09:28,gpt-5.4-mini,2907,0.00218025,63,0.0002835,2970,0.00246375
47,2026-07-12 02:09:29,gpt-5.4-mini,2899,0.00217425,58,0.000261,2957,0.00243525
48,2026-07-12 02:09:30,gpt-5.4-mini,2922,0.0021915,90,0.00040500000000000003,3012,0.0025965
49,2026-07-12 02:09:36,gpt-5.4-mini,7490,0.0056175,131,0.0005895000000000001,7621,0.006207
50,2026-07-12 02:09:37,gpt-5.4-mini,2909,0.00218175,74,0.00033299999999999996,2983,0.00251475
51,2026-07-12 02:09:38,gpt-5.4-mini,2904,0.002178,69,0.0003105,2973,0.0024885
52,2026-07-12 02:09:40,gpt-5.4-mini,2906,0.0021795,57,0.0002565,2963,0.002436
53,2026-07-12 02:09:41,gpt-5.4-mini,2903,0.0021772500000000004,75,0.00033749999999999996,2978,0.0025147500000000005
54,2026-07-12 02:09:42,gpt-5.4-mini,2922,0.0021915,55,0.0002475,2977,0.0024389999999999998
55,2026-07-12 02:09:44,gpt-5.4-mini,2909,0.00218175,48,0.000216,2957,0.00239775
56,2026-07-12 02:10:09,gpt-5.6-luna,42336,0.042336,3588,0.021528,45924,0.063864
57,2026-07-12 02:13:17,gpt-5.4-mini,9821,0.00736575,313,0.0014085,10134,0.00877425
58,2026-07-12 02:13:21,gpt-5.4-mini,3163,0.0023722500000000002,48,0.000216,3211,0.0025882500000000003
59,2026-07-12 02:13:22,gpt-5.4-mini,3172,0.002379,68,0.000306,3240,0.002685
60,2026-07-12 02:13:23,gpt-5.4-mini,3164,0.002373,46,0.000207,3210,0.0025800000000000003
61,2026-07-12 02:13:24,gpt-5.4-mini,3187,0.00239025,65,0.00029249999999999995,3252,0.00268275
62,2026-07-12 02:13:30,gpt-5.4-mini,8656,0.006492,126,0.000567,8782,0.007059
63,2026-07-12 02:13:31,gpt-5.4-mini,3174,0.0023805000000000002,57,0.0002565,3231,0.0026370000000000005
64,2026-07-12 02:13:33,gpt-5.4-mini,3169,0.00237675,55,0.0002475,3224,0.00262425
65,2026-07-12 02:13:34,gpt-5.4-mini,3171,0.00237825,63,0.0002835,3234,0.00266175
66,2026-07-12 02:13:35,gpt-5.4-mini,3168,0.0023759999999999996,52,0.000234,3220,0.0026099999999999995
67,2026-07-12 02:13:37,gpt-5.4-mini,3187,0.00239025,53,0.0002385,3240,0.00262875
68,2026-07-12 02:13:38,gpt-5.4-mini,3174,0.0023805000000000002,49,0.0002205,3223,0.002601
69,2026-07-12 02:14:11,gpt-5.6-luna,99603,0.099603,3414,0.020484,103017,0.120087
70,2026-07-12 02:17:09,gpt-5.4-mini,3256,0.002442,24,0.000108,3280,0.00255
71,2026-07-12 02:17:11,gpt-5.4-mini,2963,0.00222225,41,0.0001845,3004,0.00240675
72,2026-07-12 02:17:12,gpt-5.4-mini,2972,0.002229,63,0.0002835,3035,0.0025125
73,2026-07-12 02:17:14,gpt-5.4-mini,2964,0.002223,64,0.000288,3028,0.002511
74,2026-07-12 02:17:16,gpt-5.4-mini,2987,0.00224025,84,0.00037799999999999997,3071,0.00261825
75,2026-07-12 02:17:23,gpt-5.4-mini,7990,0.0059925,123,0.0005535000000000001,8113,0.006546000000000001
76,2026-07-12 02:17:24,gpt-5.4-mini,2974,0.0022305,80,0.00036,3054,0.0025905
77,2026-07-12 02:17:26,gpt-5.4-mini,2969,0.00222675,47,0.0002115,3016,0.00243825
78,2026-07-12 02:17:27,gpt-5.4-mini,2971,0.00222825,55,0.0002475,3026,0.00247575
79,2026-07-12 02:17:28,gpt-5.4-mini,2968,0.002226,55,0.0002475,3023,0.0024735
80,2026-07-12 02:17:29,gpt-5.4-mini,2987,0.00224025,59,0.0002655,3046,0.00250575
81,2026-07-12 02:17:31,gpt-5.4-mini,2974,0.0022305,46,0.000207,3020,0.0024375
82,2026-07-12 02:18:03,gpt-5.6-luna,82763,0.082763,4244,0.025464,87007,0.108227
83,2026-07-12 02:18:13,gpt-5.4-mini,7588,0.005691,225,0.0010125,7813,0.006703499999999999
84,2026-07-12 02:18:15,gpt-5.4-mini,2699,0.00202425,78,0.00035099999999999997,2777,0.0023752499999999998
85,2026-07-12 02:18:20,gpt-5.4-mini,6677,0.00500775,124,0.000558,6801,0.00556575
86,2026-07-12 02:18:25,gpt-5.4-mini,6553,0.00491475,113,0.0005085,6666,0.00542325
87,2026-07-12 02:18:27,gpt-5.4-mini,2723,0.0020422500000000002,61,0.0002745,2784,0.0023167500000000002
88,2026-07-12 02:18:32,gpt-5.4-mini,9610,0.0072075,135,0.0006075,9745,0.007815
89,2026-07-12 02:18:37,gpt-5.4-mini,7619,0.00571425,109,0.0004905,7728,0.00620475
90,2026-07-12 02:18:39,gpt-5.4-mini,2705,0.00202875,65,0.00029249999999999995,2770,0.00232125
91,2026-07-12 02:18:40,gpt-5.4-mini,2707,0.00203025,74,0.00033299999999999996,2781,0.00236325
92,2026-07-12 02:18:45,gpt-5.4-mini,7694,0.0057705000000000005,147,0.0006615,7841,0.006432
93,2026-07-12 02:18:46,gpt-5.4-mini,2723,0.0020422500000000002,73,0.0003285,2796,0.0023707500000000005
94,2026-07-12 02:18:48,gpt-5.4-mini,2710,0.0020325,86,0.00038700000000000003,2796,0.0024195
95,2026-07-12 02:19:30,gpt-5.6-luna,149784,0.149784,4913,0.029477999999999997,154697,0.179262
96,2026-07-12 02:20:05,gpt-5.6-luna,81088,0.081088,2874,0.017244,83962,0.09833199999999999
97,2026-07-12 02:21:17,gpt-5.4-mini,12289,0.00921675,253,0.0011385000000000002,12542,0.01035525
98,2026-07-12 02:21:23,gpt-5.4-mini,9138,0.0068535,114,0.000513,9252,0.0073665
99,2026-07-12 02:21:24,gpt-5.4-mini,3467,0.00260025,56,0.000252,3523,0.00285225
100,2026-07-12 02:21:25,gpt-5.4-mini,3459,0.0025942499999999998,62,0.000279,3521,0.00287325
101,2026-07-12 02:21:27,gpt-5.4-mini,3482,0.0026115,56,0.000252,3538,0.0028635
102,2026-07-12 02:21:32,gpt-5.4-mini,9819,0.007364249999999999,114,0.000513,9933,0.007877249999999999
103,2026-07-12 02:21:34,gpt-5.4-mini,3469,0.00260175,80,0.00036,3549,0.00296175
104,2026-07-12 02:21:35,gpt-5.4-mini,3464,0.002598,58,0.000261,3522,0.002859
105,2026-07-12 02:21:36,gpt-5.4-mini,3466,0.0025995,86,0.00038700000000000003,3552,0.0029865
106,2026-07-12 02:21:37,gpt-5.4-mini,3463,0.0025972499999999997,63,0.0002835,3526,0.0028807499999999996
107,2026-07-12 02:21:39,gpt-5.4-mini,3482,0.0026115,79,0.00035549999999999997,3561,0.002967
108,2026-07-12 02:21:40,gpt-5.4-mini,3469,0.00260175,62,0.000279,3531,0.00288075
109,2026-07-12 02:22:18,gpt-5.6-luna,143435,0.143435,4406,0.026436,147841,0.169871
110,2026-07-12 02:25:22,gpt-5.4-mini,8746,0.0065595,81,0.0003645,8827,0.0069240000000000005
111,2026-07-12 02:25:23,gpt-5.4-mini,3044,0.002283,36,0.000162,3080,0.0024449999999999997
112,2026-07-12 02:25:25,gpt-5.4-mini,3053,0.00228975,61,0.0002745,3114,0.00256425
113,2026-07-12 02:25:26,gpt-5.4-mini,3045,0.00228375,57,0.0002565,3102,0.00254025
114,2026-07-12 02:25:27,gpt-5.4-mini,3068,0.002301,75,0.00033749999999999996,3143,0.0026385000000000002
115,2026-07-12 02:25:29,gpt-5.4-mini,3064,0.0022979999999999997,56,0.000252,3120,0.0025499999999999997
116,2026-07-12 02:25:30,gpt-5.4-mini,3055,0.00229125,76,0.000342,3131,0.0026332499999999997
117,2026-07-12 02:25:31,gpt-5.4-mini,3050,0.0022875,58,0.000261,3108,0.0025485
118,2026-07-12 02:25:33,gpt-5.4-mini,3052,0.0022890000000000002,76,0.000342,3128,0.002631
119,2026-07-12 02:25:34,gpt-5.4-mini,3049,0.00228675,52,0.000234,3101,0.00252075
120,2026-07-12 02:25:34,gpt-5.4-mini,3068,0.002301,57,0.0002565,3125,0.0025575
121,2026-07-12 02:25:35,gpt-5.4-mini,3055,0.00229125,48,0.000216,3103,0.00250725
122,2026-07-12 02:26:00,gpt-5.6-luna,49705,0.049705,3226,0.019356,52931,0.069061
123,2026-07-12 02:26:08,gpt-5.4-mini,7570,0.0056775,209,0.0009405,7779,0.006618000000000001
124,2026-07-12 02:26:10,gpt-5.4-mini,2529,0.00189675,72,0.000324,2601,0.00222075
125,2026-07-12 02:26:12,gpt-5.4-mini,2538,0.0019034999999999998,77,0.0003465,2615,0.00225
126,2026-07-12 02:26:13,gpt-5.4-mini,2530,0.0018975,69,0.0003105,2599,0.002208
127,2026-07-12 02:26:14,gpt-5.4-mini,2553,0.0019147500000000002,93,0.0004185,2646,0.0023332500000000003
128,2026-07-12 02:26:21,gpt-5.4-mini,8794,0.0065955,137,0.0006165,8931,0.007212
129,2026-07-12 02:26:22,gpt-5.4-mini,2540,0.001905,82,0.000369,2622,0.002274
130,2026-07-12 02:26:23,gpt-5.4-mini,2535,0.00190125,62,0.000279,2597,0.00218025
131,2026-07-12 02:26:24,gpt-5.4-mini,2537,0.0019027500000000001,66,0.000297,2603,0.0021997500000000003
132,2026-07-12 02:26:26,gpt-5.4-mini,2534,0.0019004999999999998,86,0.00038700000000000003,2620,0.0022875
133,2026-07-12 02:26:27,gpt-5.4-mini,2553,0.0019147500000000002,67,0.0003015,2620,0.0022162500000000003
134,2026-07-12 02:26:28,gpt-5.4-mini,2540,0.001905,82,0.000369,2622,0.002274
135,2026-07-12 02:26:41,gpt-5.6-terra,4876,0.01219,626,0.00939,5502,0.021580000000000002
136,2026-07-12 02:27:09,gpt-5.6-terra,44194,0.110485,1392,0.02088,45586,0.131365
137,2026-07-12 02:30:22,gpt-5.4-mini,28535,0.02140125,429,0.0019305000000000001,28964,0.023331750000000002
138,2026-07-12 02:30:23,gpt-5.4-mini,3051,0.00228825,76,0.000342,3127,0.0026302499999999998
139,2026-07-12 02:30:29,gpt-5.4-mini,11329,0.00849675,187,0.0008415,11516,0.009338250000000001
140,2026-07-12 02:30:30,gpt-5.4-mini,3038,0.0022785,56,0.000252,3094,0.0025305
141,2026-07-12 02:30:31,gpt-5.4-mini,3046,0.0022845,54,0.000243,3100,0.0025275000000000002
142,2026-07-12 02:30:33,gpt-5.4-mini,3051,0.00228825,61,0.0002745,3112,0.00256275
143,2026-07-12 02:30:34,gpt-5.4-mini,3046,0.0022845,65,0.00029249999999999995,3111,0.002577
144,2026-07-12 02:30:35,gpt-5.4-mini,3043,0.00228225,63,0.0002835,3106,0.00256575
145,2026-07-12 02:30:38,gpt-5.4-mini,3070,0.0023025,78,0.00035099999999999997,3148,0.0026534999999999996
146,2026-07-12 02:30:39,gpt-5.4-mini,3050,0.0022875,65,0.00029249999999999995,3115,0.00258
147,2026-07-12 02:30:41,gpt-5.4-mini,3051,0.00228825,52,0.000234,3103,0.0025222499999999998
148,2026-07-12 02:30:42,gpt-5.4-mini,3061,0.00229575,72,0.000324,3133,0.00261975
149,2026-07-12 02:30:43,gpt-5.4-mini,3045,0.00228375,53,0.0002385,3098,0.00252225
150,2026-07-12 02:30:45,gpt-5.4-mini,3049,0.00228675,69,0.0003105,3118,0.00259725
151,2026-07-12 02:30:46,gpt-5.4-mini,3051,0.00228825,78,0.00035099999999999997,3129,0.00263925
152,2026-07-12 02:30:48,gpt-5.4-mini,3063,0.0022972500000000002,82,0.000369,3145,0.0026662500000000002
153,2026-07-12 02:31:27,gpt-5.6-luna,138578,0.138578,4326,0.025956,142904,0.164534
154,2026-07-12 02:31:35,gpt-5.4-mini,9420,0.007065,179,0.0008054999999999999,9599,0.0078705
155,2026-07-12 02:31:36,gpt-5.4-mini,3343,0.00250725,81,0.0003645,3424,0.00287175
156,2026-07-12 02:31:41,gpt-5.4-mini,9840,0.007379999999999999,168,0.0007559999999999999,10008,0.008136
157,2026-07-12 02:31:43,gpt-5.4-mini,3330,0.0024975,93,0.0004185,3423,0.002916
158,2026-07-12 02:31:44,gpt-5.4-mini,3338,0.0025034999999999996,58,0.000261,3396,0.0027644999999999996
159,2026-07-12 02:31:47,gpt-5.4-mini,3343,0.00250725,65,0.00029249999999999995,3408,0.0027997499999999997
160,2026-07-12 02:31:48,gpt-5.4-mini,3338,0.0025034999999999996,59,0.0002655,3397,0.0027689999999999998
161,2026-07-12 02:31:49,gpt-5.4-mini,3335,0.00250125,60,0.00027,3395,0.00277125
162,2026-07-12 02:31:50,gpt-5.4-mini,3362,0.0025215,76,0.000342,3438,0.0028634999999999997
163,2026-07-12 02:31:51,gpt-5.4-mini,3342,0.0025065,70,0.00031499999999999996,3412,0.0028215000000000002
164,2026-07-12 02:31:52,gpt-5.4-mini,3343,0.00250725,92,0.000414,3435,0.00292125
165,2026-07-12 02:31:53,gpt-5.4-mini,3353,0.00251475,71,0.0003195,3424,0.00283425
166,2026-07-12 02:31:54,gpt-5.4-mini,3337,0.00250275,83,0.00037349999999999997,3420,0.0028762500000000003
167,2026-07-12 02:31:55,gpt-5.4-mini,3341,0.0025057499999999997,74,0.00033299999999999996,3415,0.0028387499999999997
168,2026-07-12 02:31:57,gpt-5.4-mini,3343,0.00250725,77,0.0003465,3420,0.00285375
169,2026-07-12 02:31:58,gpt-5.4-mini,3355,0.00251625,84,0.00037799999999999997,3439,0.0028942499999999997
170,2026-07-12 02:32:40,gpt-5.6-luna,145391,0.145391,5153,0.030917999999999998,150544,0.176309
171,2026-07-12 02:38:36,gpt-5.4-mini,4559,0.0034192499999999995,24,0.000108,4583,0.0035272499999999996
172,2026-07-12 02:38:38,gpt-5.4-mini,4151,0.00311325,74,0.00033299999999999996,4225,0.00344625
173,2026-07-12 02:38:39,gpt-5.4-mini,4172,0.0031290000000000003,64,0.000288,4236,0.0034170000000000003
174,2026-07-12 02:38:40,gpt-5.4-mini,4138,0.0031035000000000004,66,0.000297,4204,0.0034005000000000003
175,2026-07-12 02:38:41,gpt-5.4-mini,4146,0.0031095000000000003,56,0.000252,4202,0.0033615000000000003
176,2026-07-12 02:38:42,gpt-5.4-mini,4151,0.00311325,65,0.00029249999999999995,4216,0.00340575
177,2026-07-12 02:38:44,gpt-5.4-mini,4146,0.0031095000000000003,52,0.000234,4198,0.0033435
178,2026-07-12 02:38:45,gpt-5.4-mini,4143,0.0031072499999999998,62,0.000279,4205,0.00338625
179,2026-07-12 02:38:46,gpt-5.4-mini,4170,0.0031275,72,0.000324,4242,0.0034515
180,2026-07-12 02:38:47,gpt-5.4-mini,4150,0.0031125,57,0.0002565,4207,0.0033689999999999996
181,2026-07-12 02:38:48,gpt-5.4-mini,4151,0.00311325,70,0.00031499999999999996,4221,0.00342825
182,2026-07-12 02:38:50,gpt-5.4-mini,4161,0.00312075,78,0.00035099999999999997,4239,0.00347175
183,2026-07-12 02:38:51,gpt-5.4-mini,4145,0.0031087500000000004,54,0.000243,4199,0.0033517500000000006
184,2026-07-12 02:38:52,gpt-5.4-mini,4149,0.00311175,52,0.000234,4201,0.0033457499999999998
185,2026-07-12 02:38:53,gpt-5.4-mini,4151,0.00311325,60,0.00027,4211,0.00338325
186,2026-07-12 02:38:54,gpt-5.4-mini,4163,0.00312225,53,0.0002385,4216,0.00336075
187,2026-07-12 02:39:09,gpt-5-mini,4100,0.001025,1863,0.003726,5963,0.004751
SUMMARIZED,-,-,2032218,1.961024000000002,68925,0.41651249999999984,2101143,2.377536500000002
